desviations_matrix_abs,subj,cond
0.02437363600622,CRES8,CONTROL
0.080721279316372,CRES8,CONTROL
0.0041550624746114,CRES8,CONTROL
0.0203143101759791,CRES8,CONTROL
0.0711797105634366,CRES8,CONTROL
0.02873620556396,CRES8,CONTROL
0.013060204168296,CRES8,CONTROL
0.017073943563909,CRES8,CONTROL
0.00980568911128699,CRES8,CONTROL
0.01043503794611,CRES8,CONTROL
0.0365213909426055,CRES8,CONTROL
6.9372709653015e-05,CRES8,CONTROL
0.0303716613283902,CRES8,CONTROL
0.000477043737512006,CRES8,CONTROL
0.019482483649515,CRES8,CONTROL
0.014521016816927,CRES8,CONTROL
0.0201635620960949,CRES8,CONTROL
0.032387419175289,CRES8,CONTROL
0.01523597001881,CRES8,CONTROL
0.00517378322012099,CRES8,CONTROL
0.03611899076901,CRES8,CONTROL
0.038063026374126,CRES8,CONTROL
0.021087696480869,CRES8,CONTROL
0.0486662659829898,CRES8,CONTROL
0.017686522760003,CRES8,CONTROL
0.091487943645457,CRES8,CONTROL
0.032091844481059,CRES8,CONTROL
0.024661475679746,CRES8,CONTROL
0.0632194201395493,CRES8,CONTROL
0.031541100830173,CRES8,CONTROL
0.027022424077374,CRES8,CONTROL
0.0211080371695965,CRES8,CONTROL
0.0393705881118618,CRES8,CONTROL
0.045376664563079,CRES8,CONTROL
0.034494610844368,CRES8,CONTROL
0.0377959710818105,CRES8,CONTROL
0.0435117933525491,CRES8,CONTROL
0.0777614465855853,CRES8,CONTROL
0.010716490848215,CRES8,CONTROL
0.000608750172983008,CRES8,CONTROL
0.0119791261084044,CRES8,CONTROL
0.0035864058615777,CRES8,CONTROL
0.011316375969043,CRES8,CONTROL
0.059658670584524,CRES8,CONTROL
0.022070240619714,CRES8,CONTROL
0.016734841166327,CRES8,CONTROL
0.0232831309143156,CRES8,CONTROL
0.061619644411742,CRES8,CONTROL
0.034343173134604,CRES8,CONTROL
0.00097157464447295,CRES8,CONTROL
0.025960760893513,CRES8,CONTROL
0.074626071091115,CRES8,CONTROL
0.021957800102747,CRES8,CONTROL
0.00103417030680797,CRES9,CONTROL
0.048576723661093,CRES9,CONTROL
0.126464442089271,CRES9,CONTROL
0.091968307990282,CRES9,CONTROL
0.000259263135507976,CRES9,CONTROL
0.0267062656669289,CRES9,CONTROL
0.155580460579204,CRES9,CONTROL
0.024416783165224,CRES9,CONTROL
0.016356262137367,CRES9,CONTROL
0.161084734192975,CRES9,CONTROL
0.089600158806237,CRES9,CONTROL
0.00991489558239297,CRES9,CONTROL
0.14038722381364,CRES9,CONTROL
0.031866685065337,CRES9,CONTROL
0.103651384926557,CRES9,CONTROL
0.142181522018203,CRES9,CONTROL
0.030079621475094,CRES9,CONTROL
0.00896422863693902,CRES9,CONTROL
0.015109783910925,CRES9,CONTROL
0.074548654718676,CRES9,CONTROL
0.00213318926276107,CRES9,CONTROL
0.0765096024088994,CRES9,CONTROL
0.074702735211337,CRES9,CONTROL
0.015259011868001,CRES9,CONTROL
0.053203770171527,CRES9,CONTROL
0.075308735723097,CRES9,CONTROL
0.120164992895384,CRES9,CONTROL
0.042264992143276,CRES9,CONTROL
0.014851842504262,CRES9,CONTROL
0.0543334621660314,CRES9,CONTROL
0.080630415923224,CRES9,CONTROL
0.042800023356353,CRES9,CONTROL
0.0881739792113766,CRES9,CONTROL
0.0567295828400023,CRES9,CONTROL
0.079009595158237,CRES9,CONTROL
0.00571239074986707,CRES9,CONTROL
0.038707652137719,CRES9,CONTROL
